"type","threshold","numberFound","avgDurMinutes","avgAvgpH"
"Severe",7.299,30,195.000000000524,7.18447790807399
"Moderate",7.39,53,216.509433962566,7.27648936414444
"Sub-Optimal",7.49,142,216.866197182994,7.40830047096296
"Marginal",7.59,562,249.84697508884,7.53366304206139
