"type","threshold","numberFound","avgDurMinutes","avgAvgpH"
"Extreme",6.99,4,123.749999999133,6.91412121212121
"Severe",7.24,22,199.772727273385,7.13344769119769
"Moderate",7.49,142,216.866197182994,7.40830047096296
"Sub-Optimal",7.74,1661,456.472606863355,7.66894471268807
