"type","durationMinutes","startTime","endTime","startNum","endNum","eventDO"
"Sub-Optimal",255.000000003758,"2010-07-18 10:45:00","2010-07-18 15:00:00",40.57109,40.57158,4.27722222222222
"Sub-Optimal",329.999999998932,"2010-07-18 21:30:00","2010-07-19 03:00:00",40.57232,40.57295,4.56130434782609
"Sub-Optimal",300.000000003104,"2010-07-19 12:00:00","2010-07-19 17:00:00",40.57397,40.57454,4.39333333333333
"Sub-Optimal",225.00000000046,"2010-07-21 14:15:00","2010-07-21 18:00:00",40.57971,40.58014,4.654375
"Sub-Optimal",465.000000000703,"2010-08-25 04:45:00","2010-08-25 12:30:00",40.67451,40.6754,4.3128125
"Sub-Optimal",255.000000000024,"2010-08-25 16:45:00","2010-08-25 21:00:00",40.67588,40.67637,4.30055555555556
"Sub-Optimal",315.000000002885,"2010-08-26 07:45:00","2010-08-26 13:00:00",40.6776,40.6782,4.58590909090909
"Sub-Optimal",269.999999999806,"2010-08-26 17:15:00","2010-08-26 21:45:00",40.67868,40.6792,4.60631578947368
"Sub-Optimal",104.999999998472,"2010-08-27 09:00:00","2010-08-27 10:45:00",40.68048,40.68068,4.75875
"Sub-Optimal",345.000000002449,"2010-08-29 08:30:00","2010-08-29 14:15:00",40.6859,40.68656,4.32791666666667
"Sub-Optimal",134.999999998035,"2011-06-22 10:31:00","2011-06-22 12:46:00",41.49983,41.50009,4.395
"Sub-Optimal",150.000000001552,"2011-06-23 11:46:00","2011-06-23 14:16:00",41.50271,41.503,4.33272727272727
"Sub-Optimal",120.000000001988,"2011-06-25 15:31:00","2011-06-25 17:31:00",41.50862,41.50885,4.67111111111111
"Sub-Optimal",119.999999998254,"2011-06-26 02:01:00","2011-06-26 04:01:00",41.50982,41.51005,4.75555555555556
"Sub-Optimal",269.999999999806,"2011-06-26 14:16:00","2011-06-26 18:46:00",41.51122,41.51173,4.65789473684211
"Sub-Optimal",329.999999998932,"2011-06-27 00:16:00","2011-06-27 05:46:00",41.51236,41.51299,4.41434782608696
"Sub-Optimal",269.999999999806,"2011-07-07 09:16:00","2011-07-07 13:46:00",41.54078,41.5413,4.26473684210526
"Sub-Optimal",194.999999997162,"2011-07-08 11:15:00","2011-07-08 14:30:00",41.54375,41.54412,4.64
"Sub-Optimal",165.000000001334,"2011-07-10 12:45:00","2011-07-10 15:30:00",41.5494,41.54971,4.53416666666667
"Sub-Optimal",495.000000000266,"2011-07-31 04:00:00","2011-07-31 12:15:00",41.60594,41.60688,4.23647058823529
"Sub-Optimal",480.000000000484,"2011-08-02 06:00:00","2011-08-02 14:00:00",41.61164,41.61256,4.19272727272727
"Sub-Optimal",329.999999998932,"2011-08-03 09:00:00","2011-08-03 14:30:00",41.61473,41.61535,4.60173913043478
"Sub-Optimal",120.000000001988,"2011-08-04 12:15:00","2011-08-04 14:15:00",41.61784,41.61807,4.62444444444444
"Sub-Optimal",74.9999999989086,"2011-08-07 14:00:00","2011-08-07 15:15:00",41.62626,41.6264,4.725
"Sub-Optimal",120.000000001988,"2011-09-03 11:46:00","2011-09-03 13:46:00",41.69997,41.7002,4.71444444444444
"Sub-Optimal",164.999999997599,"2011-09-03 22:31:00","2011-09-04 01:16:00",41.7012,41.70151,4.55666666666667
"Sub-Optimal",360.000000002231,"2011-09-04 10:01:00","2011-09-04 16:01:00",41.70251,41.7032,4.102
"Sub-Optimal",149.999999997817,"2011-09-07 16:01:00","2011-09-07 18:31:00",41.71142,41.7117,4.74181818181818
"Sub-Optimal",269.999999999806,"2011-09-08 01:46:00","2011-09-08 06:16:00",41.71253,41.71304,4.63526315789474
"Sub-Optimal",314.999999999151,"2011-09-11 16:31:00","2011-09-11 21:46:00",41.72243,41.72303,4.50318181818182
"Sub-Optimal",210.000000000679,"2012-06-14 15:01:00","2012-06-14 18:31:00",42.48117,42.48157,4.13266666666667
"Sub-Optimal",314.999999999151,"2012-06-15 01:01:00","2012-06-15 06:16:00",42.48231,42.48291,3.82318181818182
"Sub-Optimal",300.000000003104,"2012-06-15 14:46:00","2012-06-15 19:46:00",42.48388,42.48445,3.18714285714286
"Sub-Optimal",360.000000002231,"2012-06-16 01:01:00","2012-06-16 07:01:00",42.48505,42.48573,4.2936
"Sub-Optimal",284.999999995853,"2012-06-16 15:01:00","2012-06-16 19:46:00",42.48665,42.48719,4.3845
"Sub-Optimal",59.9999999991269,"2012-06-17 18:31:00","2012-06-17 19:31:00",42.48979,42.4899,4.502
"Sub-Optimal",194.999999997162,"2012-07-05 06:16:00","2012-07-05 09:31:00",42.5377,42.53807,4.62642857142857
"Sub-Optimal",150.000000001552,"2012-07-05 17:46:00","2012-07-05 20:16:00",42.53901,42.5393,4.65181818181818
"Sub-Optimal",209.999999996944,"2012-07-08 09:01:00","2012-07-08 12:31:00",42.54623,42.54663,4.54666666666667
"Sub-Optimal",89.9999999986903,"2012-07-08 23:31:00","2012-07-09 01:01:00",42.54789,42.54806,4.67857142857143
"Sub-Optimal",255.000000000024,"2012-07-09 09:16:00","2012-07-09 13:31:00",42.549,42.54949,4.41277777777778
"Sub-Optimal",284.999999999587,"2012-07-10 10:01:00","2012-07-10 14:46:00",42.55183,42.55237,4.3305
"Sub-Optimal",165.000000001334,"2012-07-11 12:16:00","2012-07-11 15:01:00",42.55482,42.55514,4.4025
"Sub-Optimal",60.0000000028615,"2012-07-11 22:16:00","2012-07-11 23:16:00",42.55597,42.55608,4.476
"Sub-Optimal",135.00000000177,"2012-07-12 01:01:00","2012-07-12 03:16:00",42.55628,42.55654,4.572
"Sub-Optimal",269.999999999806,"2012-07-12 13:01:00","2012-07-12 17:31:00",42.55765,42.55816,3.95111111111111
"Sub-Optimal",405.000000001576,"2012-07-12 22:31:00","2012-07-13 05:16:00",42.55873,42.55951,3.56321428571429
"Sub-Optimal",329.999999998932,"2012-07-13 13:46:00","2012-07-13 19:16:00",42.56048,42.5611,3.69173913043478
"Sub-Optimal",359.999999998496,"2012-07-13 23:46:00","2012-07-14 05:46:00",42.56162,42.5623,4.3356
"Sub-Optimal",314.999999999151,"2012-07-14 14:16:00","2012-07-14 19:31:00",42.56327,42.56387,4.20681818181818
"Sub-Optimal",269.999999999806,"2012-07-15 02:01:00","2012-07-15 06:31:00",42.56461,42.56513,4.43473684210526
"Sub-Optimal",404.999999997841,"2012-07-25 09:16:00","2012-07-25 16:01:00",42.59284,42.59361,4.48214285714286
"Sub-Optimal",329.999999998932,"2012-07-25 20:31:00","2012-07-26 02:01:00",42.59412,42.59475,4.08391304347826
"Sub-Optimal",284.999999995853,"2012-07-26 12:46:00","2012-07-26 17:31:00",42.59598,42.59652,4.4785
"Sub-Optimal",195.000000000897,"2012-07-27 14:16:00","2012-07-27 17:31:00",42.59889,42.59926,4.69714285714286
